date,value
2014-07-02 00:00:00,969.343
2014-08-02 00:00:00,973.264
2014-09-02 00:00:00,961.108
2014-10-02 00:00:00,965.331
2014-11-02 00:00:00,943.292
2014-12-02 00:00:00,973.529
2015-01-02 00:00:00,1075.532
2015-02-02 00:00:00,1083.721
2015-03-02 00:00:00,1089.855
2015-04-02 00:00:00,1111.997
2015-05-02 00:00:00,1071.857
2015-06-02 00:00:00,1054.62
2015-07-02 00:00:00,1028.052
2015-08-02 00:00:00,1003.768
2015-09-02 00:00:00,1001.237
2015-10-02 00:00:00,1029.628
2015-11-02 00:00:00,1013.566
2015-12-02 00:00:00,983.322
2016-01-02 00:00:00,1008.308
2016-02-02 00:00:00,1077.025
2016-03-02 00:00:00,1122.515
2016-04-02 00:00:00,1095.033
2016-05-02 00:00:00,1113.455
2016-06-02 00:00:00,1133.661
2016-07-02 00:00:00,1208.498
2016-08-02 00:00:00,1196.087
2016-09-02 00:00:00,1183.33
2016-10-02 00:00:00,1150.514
2016-11-02 00:00:00,1147.374
2016-12-02 00:00:00,1091.05
2017-01-02 00:00:00,1122.565
2017-02-02 00:00:00,1159.31
2017-03-02 00:00:00,1152.173
2017-04-02 00:00:00,1181.366
2017-05-02 00:00:00,1127.514
2017-06-02 00:00:00,1123.076
2017-07-02 00:00:00,1073.212
2017-08-02 00:00:00,1085.559
2017-09-02 00:00:00,1104.873
2017-10-02 00:00:00,1089.532
